be	26 
out	95 77 61 28 40 89 36 87 54 73 18 29 52 79 
while	56 76 33 26 61 23 62 71 81 90 37 79 32 4 15 49 7 84 88 98 82 87 29 93 36 19 85 75 57 24 86 12 80 6 45 70 63 99 54 97 60 53 50 16 8 2 
most	70 77 44 30 33 93 80 24 82 40 2 4 5 72 14 53 83 63 31 98 19 71 
made	31 62 88 38 99 
they	96 76 20 43 31 50 6 7 90 23 68 75 1 80 67 21 81 71 86 8 74 98 99 9 78 36 54 34 38 32 70 82 62 95 44 59 41 55 69 
that	17 44 57 4 
as	66 80 37 32 33 55 
were	92 
is	97 16 14 69 65 35 87 71 50 59 8 43 61 47 100 4 26 27 86 64 23 46 66 91 51 82 25 54 56 49 33 80 52 60 62 44 17 11 67 
no	86 51 49 29 81 54 48 
a	5 53 27 90 43 66 33 9 58 37 11 2 30 81 87 8 77 40 100 32 83 98 19 76 73 99 39 80 17 70 50 34 45 23 49 61 92 91 79 64 20 38 
have	90 53 78 84 72 7 47 5 9 98 
him	37 67 45 25 78 58 42 39 18 12 79 76 31 15 1 35 4 77 10 73 60 5 27 66 47 34 11 95 87 74 61 49 23 89 91 75 71 38 9 68 54 19 
other	75 56 11 1 37 71 86 92 93 48 30 58 100 17 26 60 43 9 27 80 35 61 78 76 38 79 4 
had	27 38 6 34 98 
